Months,Avatar,Titanic,The Avengers,Jurassic World,Furious 7,Avengers: Age of Ultron,Frozen,Iron Man 3,Minions,Captain America: Civil War,Transformers: Dark of the Moon,The Lord of the Rings: The Return of the King,Skyfall,Transformers: Age of Extinction,The Dark Knight Rises,Toy Story 3,Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: On Stranger Tides,Alice in Wonderland,The Hobbit: An Unexpected Journey
2004-01,2,7,1,<1,0,<1,1,0,<1,<1,0,57,<1,0,<1,<1,6,12,4,6
2004-02,2,6,<1,<1,0,<1,1,0,<1,<1,0,27,<1,0,0,<1,4,8,4,4
2004-03,2,6,<1,<1,0,<1,1,0,<1,<1,0,25,<1,0,<1,<1,3,6,3,4
2004-04,2,8,<1,<1,0,<1,1,0,0,<1,0,15,<1,0,0,<1,3,4,4,3
2004-05,2,7,<1,<1,0,<1,1,0,<1,<1,<1,18,<1,0,0,<1,2,4,3,3
2004-06,2,5,<1,<1,0,<1,1,0,<1,<1,0,14,<1,0,<1,<1,2,3,2,2
2004-07,2,4,1,<1,0,<1,1,0,<1,<1,0,11,<1,0,0,<1,2,3,2,2
2004-08,2,4,1,<1,0,<1,1,0,<1,<1,<1,10,<1,0,<1,<1,2,2,2,2
2004-09,2,6,1,<1,<1,<1,1,0,<1,<1,<1,10,<1,0,0,<1,1,2,3,2
2004-10,2,7,<1,<1,0,<1,1,0,<1,<1,<1,9,<1,0,0,<1,2,2,4,2
2004-11,2,7,<1,<1,0,<1,1,0,<1,<1,<1,11,<1,0,0,<1,2,2,4,2
2004-12,2,6,1,<1,0,<1,1,0,<1,<1,0,17,<1,0,<1,<1,2,2,3,3
2005-01,2,6,1,<1,0,<1,1,0,<1,<1,<1,7,<1,0,0,<1,2,2,3,3
2005-02,3,7,<1,<1,0,<1,1,0,<1,<1,<1,5,<1,0,0,<1,2,2,3,2
2005-03,3,7,<1,<1,0,<1,1,0,<1,<1,<1,5,<1,0,<1,<1,2,2,3,2
2005-04,3,7,<1,<1,0,<1,1,0,<1,<1,0,4,<1,0,0,<1,2,2,3,2
2005-05,2,7,<1,<1,0,<1,1,0,<1,<1,0,3,<1,0,<1,<1,2,2,3,2
2005-06,2,6,<1,<1,0,<1,1,0,<1,<1,0,4,<1,0,<1,<1,2,2,3,2
2005-07,3,6,1,<1,0,<1,1,0,<1,<1,0,3,<1,0,<1,<1,2,2,3,2
2005-08,2,5,<1,<1,0,<1,1,0,<1,<1,<1,3,<1,0,0,<1,2,2,3,2
2005-09,3,6,<1,<1,<1,<1,1,0,<1,<1,0,3,<1,0,<1,<1,2,2,3,2
2005-10,3,6,<1,<1,0,<1,1,0,<1,<1,<1,3,<1,0,<1,<1,2,2,4,2
2005-11,3,7,<1,<1,<1,<1,1,0,<1,<1,<1,3,<1,0,<1,<1,3,2,3,2
2005-12,3,7,<1,<1,<1,<1,1,0,<1,<1,0,4,<1,0,<1,<1,6,3,3,2
2006-01,3,6,<1,<1,0,<1,1,0,<1,<1,<1,3,<1,0,<1,<1,5,2,3,2
2006-02,3,7,1,<1,<1,<1,1,0,<1,<1,<1,3,<1,0,<1,<1,4,2,3,2
2006-03,3,7,<1,<1,<1,<1,1,0,<1,<1,<1,3,<1,0,<1,<1,4,2,3,2
2006-04,3,7,<1,<1,<1,<1,1,0,<1,<1,<1,3,<1,0,<1,<1,5,2,3,2
2006-05,3,7,<1,<1,0,<1,1,0,<1,1,<1,2,<1,0,<1,<1,7,4,3,2
2006-06,3,6,<1,<1,<1,<1,1,0,<1,1,<1,2,<1,<1,<1,<1,13,6,2,1
2006-07,3,6,<1,<1,<1,<1,1,0,<1,1,<1,2,<1,0,<1,<1,48,25,2,1
2006-08,3,5,<1,<1,<1,<1,1,0,<1,1,<1,2,<1,0,<1,<1,25,10,2,1
2006-09,4,6,<1,<1,<1,<1,1,0,<1,1,<1,2,<1,0,<1,<1,10,5,3,2
2006-10,4,6,1,<1,<1,<1,1,0,<1,1,<1,2,<1,0,<1,<1,7,4,4,2
2006-11,4,7,<1,<1,0,<1,1,0,<1,1,0,2,<1,0,<1,<1,7,4,3,2
